FP_ID	VDL_ID	CLASS	LAT	LON	LOCATION_ID	SENSOR_ID	Replacement
608E	MN19	MBb-TEST	37.14018467	-8.635034531	pQXMgrvKtg1534867440980	PI040298AD5I213531	0
ACD1	MN20	MB-TEST	37.14018467	-8.635034531	8dPz59SEte1534867600026	PI040298AD5G200384	0
5FA9	MN21	SW-TEST	37.14018467	-8.635034531	xc0XeoFooL1534867802196	PI040298AD5I212109	0
B434	MN21	SW-TEST	37.14023097	-8.635111045	ikd6cCGUSF1554044581946	PI040298AD5I213392	1
0F0C	MN22	MC-TEST	37.14026223	-8.635092601	MySbD5DVVV1534867996413	PI040298AD5I213966	0
316E	MN23	MCb-TEST	37.14031525	-8.63510937	3hYvj31drJ1534868180078	PI040298AD5I213432	0
716B	MN24	MC-TEST	37.14031525	-8.63510937	8c3gu0NhT61534868334994	PI040298AD5G205297	0
640D	MN25	SW-TEST	37.14019954	-8.635155251	fI5ZO61PA41534868523233	PI040298AD5I213859	0
0F04	MN26	MA-TEST	37.14031525	-8.63510937	v9vbFeB7vf1534868821800	PI040298AD5I213967	0
0F48	MN27	MAb-TEST	37.14029685	-8.635182897	Q4lXEbWcrK1534869086737	PI040298AD5I210985	0
63B0	MN28	MA-TEST	37.14037604	-8.635213702	cBFdbKbHoV1534869946829	PI040298AD5I210900	0
FD71	MN29	SW-TEST	37.14037604	-8.635213702	Y2WJEk7Ygz1534869616057	PI040298AD5I213355	0
59F0	MN30	MB-TEST	37.14037604	-8.635213702	D0zqgju1ho1534870198551	PI040298AD5I209489	0
4176	MN31	MC-TEST	37.14023255	-8.635353444	qpjvoVkime1534870667080	PI040298AD5G202636	0
5559	MN32	MCb-TEST	37.14023621	-8.635430149	QOjz7TCuyU1534870967925	PI040298AD5I213031	0
3136	MN33	MC-TEST	37.14023621	-8.635430149	2qkTIALEHg1534871175465	PI040298AD5I213444	0
1CA2	MN34	MCb-TEST	37.14040579	-8.63541277	yiS8fE2DmG1534871621291	PI040298AD5G201682	0
676F	MN35	MC-TEST	37.14040579	-8.63541277	sWnfofyy9K1534871826986	PI040298AD5I207989	0
33A1	MN36	MBb-TEST	37.14040579	-8.63541277	JGZlQjZxb61534871984747	PI040298AD5I214059	0
3757	MN37	MB-TEST	37.14040579	-8.63541277	tiSvZU4Xv81534872148273	PI040298AD5I214003	0
2187	MN38	MAb-TEST	37.14040579	-8.63541277	Dp4ZyYkwhh1534872315473	PI040298AD5I212668	0
1E8C	MN39	MA-TEST	37.14045986	-8.635250569	1NJjN6QpvM1534872498323	PI040298AD5I212674	0
53C2	MN40	MCb-TEST	37.14045986	-8.635250569	oFWr3ok6EU1534872677149	PI040298AD5I212999	0
FFFD	MN41	MC-TEST	37.14045986	-8.635250569	j9rqYf9Yo21534872831735	PI040298AD5I212453	0
587C	MN42	MBb-TEST	37.14045986	-8.635250569	YOk9ARZHTb1534873026030	PI040298AD5I214089	0
641D	MN43	MB-TEST	37.14045986	-8.635250569	IF46U0xAuo1534873235737	PI040298AD5I213854	0
5766	MN44	MAb-TEST	37.14044754	-8.635016509	oRdZEjqZC81534873425100	PI040298AD5I213557	0
31DD	MN45	MA-TEST	37.14044754	-8.635016509	DxuRhI28951534873582880	PI040298AD5I211062	0
5EC4	MN46	MAb-TEST	37.14044754	-8.635016509	PntEIJl8sm1534873773800	PI040298AD5I212917	0
40A0	MN47	MA-TEST	37.14044754	-8.635016509	W4XoKIJSwt1534873927047	PI040298AD5I212069	0
D85E	NF01	GRID	37.14039605	-8.629283285	m6IhoSq7O91554018021722	PI040298AD5G204458	0
CF87	OG01	GRID	37.14088768	-8.634026809	KEuEizqP8E1535298576003	PI040298AD5G203720	0
65E0	OG02	GRID	37.14094709	-8.633649414	y05c942uCK1535299209934	PI040298AD5I206187	0
11F6	OG02	GRID	37.1408556	-8.633648269	RJxAG6jUpq1553761882332	PI040298AD5I208734	1
6339	OG03	GRID	37.14069283	-8.633818629	2okL4KwSOz1535298941239	PI040298AD5I213006	0
6F1C	OG04	GRID	37.14092863	-8.633318445	XWK1qUaeW41535299513915	PI040298AD5I206995	0
5181	OG05	GRID	37.14069132	-8.633142653	TzVkMzHNuP1535299997107	PI040298AD5I214096	0
1BF2	OG06	GRID	37.14069132	-8.633142653	CmSxAzgehi1535299936326	PI040298AD5I213880	0
9559	OG07	GRID	37.14050313	-8.633361524	c71lkZ0g2A1535299113601	PI040298AD5I211332	0
C758	OG07	GRID	37.14045275	-8.633365339	oIeephFnoc1553760826471	PI040298AD5I213952	1
09E3	OG08	GRID	37.14069132	-8.633142653	KABUoTC0mu1535300345924	PI040298AD5I212544	0
586F	SB01	GRID	37.13898291	-8.631051807	LnsQRG3RFc1535222293129	PI040298AD5I212106	0
947E	SB02	GRID	37.1389363	-8.631648086	YaOFT1wYaN1535222231822	PI040298AD5I213936	0
58A2	SB03	GRID	37.13892811	-8.631702926	UmYVVUTu5F1535222864479	PI040298AD5I211785	0
07B7	SB03	GRID	37.13883021	-8.63221325	PBtqf1MIuR1552661068243	PI040298AD5I212289	1
9FB7	SB04	GRID	37.13875433	-8.632570252	9PZhMsl9sC1535223087989	PI040298AD5I211670	0
BC31	SB04	GRID	37.13877178	-8.632562019	AWAUJIhxHA1552661375562	PI040298AD5G200484	1
95B0	SB05	GRID	37.13872807	-8.632917977	Ne6qoADmUA1535263656315	PI040298AD5I211401	0
4E71	SB06	GRID	37.13846285	-8.634288168	BlYN9wFDHv1535457052190	PI040298AD5I214008	0
65C0	SB07	GRID	37.13846285	-8.634288168	MoKTE7kpBl1535456972621	PI040298AD5I208428	0
1112	SB07	GRID	37.13863869	-8.63359501	phXvcqFMYE1552661728870	PI040298AD5I210661	1
54AD	SB08	GRID	37.13846285	-8.634288168	o2hzUJIcfj1535456889401	PI040298AD5I212982	0
553F	SB09	GRID	37.13846285	-8.634288168	8xgiIQ6Zt11535456761202	PI040298AD5I213035	0
4D23	SB10	GRID	37.138352	-8.634617217	78w6hXvI1D1535276168367	PI040298AD5I213916	0
A45D	SB11	GRID	37.13831354	-8.634885309	btugHA2Mqn1535456523021	PI040298AD5I210998	0
2BB7	SB12	GRID	37.13822097	-8.635243077	0wuGkGKKZ71535456384667	PI040298AD5I212632	0
5FD8	SS01	SW1a-TEST	37.1391344	-8.633603493	caYV2EkhLP1535188065329	PI040298AD5I210868	0
0F2F	SS01	SW1a-TEST	37.13912553	-8.633633007	KQKkJXgCcI1553613301729	PI040298AD5I210983	1
6442	SS02	SW1a-TEST	37.13922088	-8.633568098	QAHjHbm4wt1535188440361	PI040298AD5I213125	0
C718	SS02	SW1a-TEST	37.13922996	-8.633567211	TYwWIb6UZz1553613995621	PI040298AD5I213389	1
5E32	SS03	SW1a-TEST	37.13929881	-8.63355263	y3ikbOQpYD1535188689637	PI040298AD5I213518	0
4BD0	SS03	SW1a-TEST	37.13922996	-8.633567211	fl4AT88tAy1553614458702	PI040298AD5I211618	1
5E42	SS04	SW1t-TEST	37.13929881	-8.63355263	3ZiZr5cqPW1535188872700	PI040298AD5I212923	0
334B	SS05	SW1t-TEST	37.13929881	-8.63355263	GoIyvC38cb1535189050554	PI040298AD5I212031	0
3462	SS05	SW1t-TEST	37.13919279	-8.633510465	MiMGWDmVRH1553615059520	PI040298AD5I213504	1
321D	SS06	SW1b-TEST	37.13929881	-8.63355263	WUI2nn0kXs1535189281290	PI040298AD5I211052	0
CF45	SS06	SW1b-TEST	37.1393304	-8.633465281	Lvm7mAWVLJ1553615611974	PI040298AD5G203983	1
2CF7	SS07	SW1b-TEST	37.1391043	-8.63357598	KDhBY6w3ex1537785253361	PI040298AD5I214139	0
09A7	SS07	SW1b-TEST	37.1393304	-8.633465281	PTcaoiGpJF1553616353760	PI040298AD5I212515	1
249F	SS08	SW1b-TEST	37.13923201	-8.633432432	15VPzoVR991535190110536	PI040298AD5I212667	0
5B9E	SS09	SW1p-TEST	37.13923201	-8.633432432	KmHg5KtcKg1535190334384	PI040298AD5I211602	0
391F	SS10	SW1p-TEST	37.13913081	-8.633390528	FyUNIBCebU1535190533951	PI040298AD5I212373	0
5746	SS10	SW1p-TEST	37.13914815	-8.633426582	a525HXXwtr1553618078735	PI040298AD5I214087	1
3390	SS11	SW2a-TEST	37.13913081	-8.633390528	ln7GJkYJoH1535190707803	PI040298AD5I214057	0
632D	SS12	SW2a-TEST	37.13913081	-8.633390528	3gv8CwiSgl1535190867317	PI040298AD5I213126	0
C15F	SS12	SW2a-TEST	37.13923487	-8.633344865	e76687LEp41553618553317	PI040298AD5I212862	1
3100	SS13	SW2a-TEST	37.13913081	-8.633390528	o2qYk7uYgD1535191040151	PI040298AD5I213451	0
56EB	SS13	SW2a-TEST	37.13923487	-8.633344865	8X7EWhUx8i1553618904028	PI040298AD5I211625	1
536D	SS14	SW2t-TEST	37.13931035	-8.633197488	Mdu87uI2Rp1535191450191	PI040298AD5I213235	0
5BC7	SS15	SW2t-TEST	37.13929788	-8.632910605	QSGOlxu4GS1535470691003	PI040298AD5I211154	0
4AA5	SS16	SW2b-TEST	37.13920612	-8.633161415	W0fxRKS00W1535191896310	PI040298AD5I213048	0
0635	SS17	SW2b-TEST	37.13920612	-8.633161415	DCE5cdXtpX1535192093776	PI040298AD5I212947	0
55E3	SS18	SW2b-TEST	37.13920612	-8.633161415	HuMqUAsiJv1535191722844	PI040298AD5I213134	0
5968	SS19	SW2p-TEST	37.13933631	-8.633137009	GMlIHZ3Woe1535192572102	PI040298AD5I213559	0
6099	SS20	SW3a-TEST	37.13920612	-8.633161415	2s4oP73rSr1535192424694	PI040298AD5I213524	0
5F9D	SS21	SW2p-TEST	37.13920612	-8.633161415	cBdmhXvyjr1535192256090	PI040298AD5I212108	0
39B3	SS22	SW3a-TEST	37.13929788	-8.632910605	j6F3zrWZNk1535470631365	PI040298AD5I211070	0
0025	SS23	SW3a-TEST	37.13933631	-8.633137009	R72UJzmJf01535192753018	PI040298AD5I212473	0
5F14	SS24	SW3t-TEST	37.1393913	-8.6329389	I7HZtYJqzw1535193132130	PI040298AD5I212921	0
5FB5	SS25	SW3t-TEST	37.1393913	-8.6329389	o1h1i4QP8e1535193367948	PI040298AD5I214031	0
6401	SS26	SW3b-TEST	37.1393913	-8.6329389	E8HPF1N1Py1535193571285	PI040298AD5I213852	0
5208	SS27	SW3b-TEST	37.1393913	-8.6329389	1Ykhp4jNr91535193731465	PI040298AD5I212118	0
4186	SS28	SW3b-TEST	37.13945396	-8.632777664	azAU3s8fqb1535215741828	PI040298AD5I211125	0
4A9D	SS29	SW3p-TEST	37.13945396	-8.632777664	mIhNKJ1OhH1535215566055	PI040298AD5G200671	0
6CD4	SS30	SW3p-TEST	37.13934434	-8.632785563	3cM4q8Cmdb1535216047258	PI040298AD5I209128	0
9431	SS31	SW3p-TEST	37.13934434	-8.632785563	pUv962F8pH1535216200274	PI040298AD5I211334	0
5D64	SS32	SW3p-TEST	37.13957013	-8.632608079	ddb5C9TadW1535216387975	PI040298AD5I214020	0
4BEA	SS33	SW3p-TEST	37.1397004	-8.632599271	KVywlIN6BC1535216699421	PI040298AD5I211628	0
5176	SS34	SW3p-TEST	37.13936782	-8.632623589	1gnNPEMazq1535217387514	PI040298AD5I214098	0
08CC	SS35	SW3p-TEST	37.1397136	-8.632426033	xooPS0o4Ad1535217728753	PI040298AD5I213175	0
5C9B	SS36	HPG-TEST	37.13994046	-8.631761231	8JTf8eDMhu1535470333956	PI040298AD5I214023	0
60CB	SS37	HPG-TEST	37.13994046	-8.631761231	TCFvnJZINF1535470271518	PI040298AD5I213527	0
54B8	SS38	HPG-TEST	37.13994046	-8.631761231	qTOCUc1C4a1535470213701	PI040298AD5I212983	0
63D4	SS39	HPG-TEST	37.13909967	-8.632393582	LnzPLFh4Jl1535217493479	PI040298AD5I210909	0
2E26	SS40	HPG-TEST	37.13919749	-8.632476144	3th6MKTFWB1535217877515	PI040298AD5I211031	0
61FC	SS41	HPG-TEST	37.1395201	-8.63239301	n9vymDOacG1535218280769	PI040298AD5I213129	0
5DF9	SS42	HPG-TEST	37.13994046	-8.631761231	yjaVD0r6VP1535470143233	PI040298AD5I213521	0
A06F	SS43	HPG-TEST	37.13932555	-8.632014799	b9y2LYwYn51535218609246	PI040298AD5I211329	0
4D8F	SS44	HPG-CONTROL	37.13933	-8.63201	xPDeeHfVsC1535218472792	PI040298AD5I213249	0
58DD	SS45	HPG-CONTROL	37.13948409	-8.632024618	sJCZG81o1O1535218842733	PI040298AD5I213561	0
5654	SS46	HPG-CONTROL	37.13958434	-8.631972931	wutSBwVoDP1535219239783	PI040298AD5I213020	0
65BE	SS47	HPG-CONTROL	37.13949353	-8.631926458	UTQ9iQp32y1535218909692	PI040298AD5I206183	0
5259	SS48	HPG-CONTROL	37.13994046	-8.631761231	bP51T7I4eP1535470022826	PI040298AD5I213228	0
0808	SS49	GRID	37.13982148	-8.632140842	kb5zTZkY401535219454442	PI040298AD5I212562	0
C142	SS50	GRID	37.13994046	-8.631761231	psrhsvhrJW1535469737665	PI040298AD5I213827	0
9610	SS51	GRID	37.1400117	-8.631588835	2GSZ0xQwt61535219432166	PI040298AD5I211658	0
9609	SS52	GRID	37.14015751	-8.631277221	75Pso1CQXD1535219775644	PI040298AD5I211659	0
1659	SS53	GRID	37.1392109	-8.630932905	nSc3coxo561535220123471	PI040298AD5I213912	0
6D13	SS54	GRID	37.13918292	-8.631741071	WJd2bAJl1l1535462201843	PI040298AD5I209386	0
5D52	SS55	GRID	37.13910229	-8.631447468	HHmLWtfACp1535221024093	PI040298AD5I214027	0
A003	SS56	GRID	37.13920719	-8.631733715	ZSSob2wl7N1535221323215	PI040298AD5I211458	0
C1C8	SS57	GRID	37.13900839	-8.632009607	QNm3ijpsx31535220989368	PI040298AD5I209167	0
5A23	SS57	GRID	37.13902072	-8.632011956	xm3fSYwseM1554048306140	PI040298AD5I211152	1
07AA	SS58	GRID	37.13890786	-8.633488809	mGXhZexuNK1536583980883	PI040298AD5I212829	0
6F72	TN01	GRID	37.13913658	-8.635204343	fOsHPssg8T1533047994390	PI040298AD5I209872	0
671D	TN02	GRID	37.13913719	-8.635203345	J4U3lKlFOa1533049255044	PI040298AD5I208783	0
C488	TN03	GRID	37.1393987	-8.634703927	PshDHbDAJL1533050332875	PI040298AD5I210659	0
91AA	TN04	GRID	37.13942732	-8.635135566	JNuengmuMj1533050904745	PI040298AD5I213076	0
A4F9	TN05	GRID	37.13942732	-8.635135566	jOdiVCQTJT1533051347156	PI040298AD5I212913	0
1087	TN05	GRID	37.13930677	-8.635426739	TKSNLEnHnB1553682376455	PI040298AD5I213286	1
983A	TN06	GRID	37.13942732	-8.635135566	FJxIP0Z0VK1533051680469	PI040298AD5I209329	0
6501	TN07	GRID	37.13913599	-8.63555585	2OhB59HXPV1533052721808	PI040298AD5I205993	0
B122	TN07	GRID	37.13914403	-8.635572285	adwDxe45pb1553683273282	PI040298AD5I212626	1
6C89	TN08	GRID	37.13913599	-8.63555585	cfL1L7jw8R1533053993040	PI040298AD5I206195	0
9592	TN09	GRID	37.13959662	-8.634834583	0FgVQljsFg1533054246260	PI040298AD5I211397	0
59FF	TN10	GRID	37.13959662	-8.634834583	MGS0mfmt4q1533054943296	PI040298AD5I209484	0
6DB3	TN11	GRID	37.13959662	-8.634834583	5lgSqcOHFA1533055312558	PI040298AD5I206466	0
64E8	TN12	GRID	37.13928641	-8.635873581	OeuHFYPaes1533055734692	PI040298AD5I206193	0
9FFC	TN13	GRID	37.13927026	-8.636140639	ugWJA2HRIV1533056324298	PI040298AD5I211452	0
6536	TN14	GRID	37.13927026	-8.636140639	Ifw170k66Q1533056569306	PI040298AD5I208445	0
6B0C	TN15	GRID	37.13963304	-8.635647548	RCVIV2w6qr1533057202798	PI040298AD5I208065	0
6E45	TN16	GRID	37.13963304	-8.635647548	8xzMIS0Eqc1533057778332	PI040298AD5I209922	0
C6E7	TN16	GRID	37.13969389	-8.635039453	Q0U6XPgfpH1553685091253	PI040298AD5I213954	1
6791	TN17	GRID	37.13966131	-8.634818738	jw8QLULVYM1533058244803	PI040298AD5I208794	0
8ED3	TN18	GRID	37.13979199	-8.634589343	QW1MIRi3Cs1533058905631	PI040298AD5I213087	0
642E	TS01	GRID	37.13837397	-8.635637283	5ABw42EwZS1535279371573	PI040298AD5I213124	0
9FAC	TS02	GRID	37.13839599	-8.635611407	971lMaOAbh1535455037186	PI040298AD5G204883	0
0B9D	TS02	GRID	37.1385435	-8.635433884	3JQFhVSTzU1553680202391	PI040298AD5G201927	1
4630	TS03	GRID	37.13832962	-8.635290116	QQ6doTNm7U1535279369868	PI040298AD5I211409	0
66C4	TS04	GRID	37.13852327	-8.635104033	QCXimA0HlX1535454572288	PI040298AD5I205667	0
7C4B	TS05	GRID	37.13849409	-8.634761089	NovY1r8ej51535454249451	PI040298AD5I208806	0
2D46	TS06	GRID	37.13871824	-8.634554454	bFqZZnoxk21535454015361	PI040298AD5I212139	0
40EA	TS07	GRID	37.13874134	-8.634229643	0rdUdViCvx1535453803848	PI040298AD5G201248	0
0876	TS08	GRID	37.13889966	-8.633962412	sUUIJFT7cL1535453451771	PI040298AD5I212535	0
FF63	TS09	GRID	37.13897829	-8.634243622	hF9nVKFI6P1535453119429	PI040298AD5I212585	0
2D1F	TS10	GRID	37.13886649	-8.6345981	X2KKrNKaU61535452887181	PI040298AD5I212135	0
0575	TS11	GRID	37.13878464	-8.634965537	92aKeQ9DKG1535452625664	PI040298AD5I213167	0
07CF	TS12	GRID	37.13886105	-8.635232272	IqQHZSXAIC1535452068090	PI040298AD5I212610	0
06A9	TS13	GRID	37.13905877	-8.634895242	0w8SGavObH1535451584908	PI040298AD5I212558	0
2D8F	TS14	GRID	37.1391693	-8.634657257	Cvg7QlZ48P1535451367123	PI040298AD5G200816	0
2EB1	TS15	GRID	37.13909171	-8.634292355	ywUpTzoVJg1535451070883	PI040298AD5I211046	0
805C	TS15	GRID	37.13964005	-8.629244239	fhYI5qImzV1553963740749	PI040298AD5I208531	0
FEA8	WZ01	GRID	37.13820901	-8.635637127	pXor4xm37Z1535277095914	PI040298AD5I212788	0
95F5	WZ02	GRID	37.13814656	-8.635955723	30FPO7dgWk1535276956614	PI040298AD5I211673	0
630F	WZ03	GRID	37.1382137	-8.636191338	Tv8dtSq9mz1535277593531	PI040298AD5I213008	0
3120	WZ04	GRID	37.13814128	-8.636439694	ciigV4Z3Uf1535277546589	PI040298AD5I213018	0
926F	WZ05	GRID	37.13845093	-8.636200872	VmsfTVaWvU1535455620265	PI040298AD5I213081	0
4704	WZ06	GRID	37.13852207	-8.635951029	agl8HPwFpS1535278218371	PI040298AD5I213836	0
